city,year,weekofyear,total_cases
sj,2011,27,39
sj,2011,30,41
sj,2011,31,41
sj,2011,33,43
sj,2011,34,47
sj,2011,35,38
sj,2011,37,45
sj,2011,38,41
sj,2011,39,41
sj,2011,40,39
sj,2011,41,38
sj,2011,42,34
sj,2011,43,33
sj,2011,44,37
sj,2011,45,33
sj,2011,46,35
sj,2011,47,34
sj,2011,48,28
sj,2011,49,21
sj,2011,51,24
sj,2012,52,24
sj,2012,1,22
sj,2012,2,20
sj,2012,3,19
sj,2012,4,16
sj,2012,5,18
sj,2012,6,18
sj,2012,7,12
sj,2012,8,16
sj,2012,9,16
sj,2012,10,16
sj,2012,11,18
sj,2012,13,18
sj,2012,14,20
sj,2012,15,22
sj,2012,16,26
sj,2012,17,20
sj,2012,18,26
sj,2012,19,29
sj,2012,20,32
sj,2012,21,29
sj,2012,22,26
sj,2012,23,31
sj,2012,27,37
sj,2012,28,37
sj,2012,30,35
sj,2012,31,38
sj,2012,33,39
sj,2012,34,41
sj,2012,35,33
sj,2012,36,36
sj,2012,37,35
sj,2012,38,34
sj,2012,39,40
sj,2012,41,39
sj,2012,43,41
sj,2012,44,37
sj,2012,46,39
sj,2012,47,40
sj,2012,48,28
sj,2012,50,23
sj,2012,51,22
sj,2013,1,18
sj,2013,2,23
sj,2013,3,20
sj,2013,4,15
sj,2013,5,21
sj,2013,6,17
sj,2013,7,17
sj,2013,8,13
sj,2013,9,17
sj,2013,11,19
sj,2013,12,19
sj,2013,13,17
sj,2013,14,14
sj,2013,15,19
sj,2013,16,22
sj,2013,17,19
iq,2010,26,2
iq,2010,27,4
iq,2010,28,19
iq,2010,29,4
iq,2010,30,0
iq,2010,31,0
iq,2010,32,1
iq,2010,33,-5
iq,2010,35,9
iq,2010,36,13
iq,2010,37,10
iq,2010,38,2
iq,2010,39,3
iq,2010,40,9
iq,2010,41,0
iq,2010,42,-5
iq,2010,43,20
iq,2010,44,22
iq,2010,45,20
iq,2010,46,5
iq,2010,47,21
iq,2010,48,7
iq,2010,49,13
iq,2010,50,11
iq,2010,51,7
iq,2011,52,13
iq,2011,1,5
iq,2011,2,12
iq,2011,3,11
iq,2011,4,8
iq,2011,5,11
iq,2011,6,10
iq,2011,7,12
iq,2011,8,11
iq,2011,9,16
iq,2011,10,9
iq,2011,11,12
iq,2011,12,10
iq,2011,13,20
iq,2011,14,13
iq,2011,15,10
iq,2011,16,14
iq,2011,17,14
iq,2011,18,22
iq,2011,19,5
iq,2011,20,7
iq,2011,29,-5
iq,2011,30,-10
iq,2011,31,-4
iq,2011,33,0
iq,2011,34,-3
iq,2011,35,-5
iq,2011,36,-1
iq,2011,37,6
iq,2011,38,7
iq,2011,39,10
iq,2011,40,7
iq,2011,41,7
iq,2011,42,25
iq,2011,43,10
iq,2011,44,8
iq,2011,45,14
iq,2011,46,23
iq,2011,47,12
iq,2011,48,16
iq,2011,49,11
iq,2011,50,16
iq,2011,51,17
iq,2012,52,12
iq,2012,2,8
iq,2012,3,16
iq,2012,4,8
iq,2012,5,10
iq,2012,6,19
iq,2012,7,6
iq,2012,8,5
iq,2012,9,5
iq,2012,10,12
iq,2012,11,7
iq,2012,12,10
iq,2012,13,14
iq,2012,14,8
iq,2012,15,8
iq,2012,16,17
iq,2012,17,15
iq,2012,18,4
iq,2012,19,0
iq,2012,20,15
iq,2012,21,-4
iq,2012,22,1
iq,2012,23,3
iq,2012,24,-2
iq,2012,25,-7
iq,2012,26,0
iq,2012,27,-12
iq,2012,28,10
iq,2012,29,0
iq,2012,30,6
iq,2012,31,-3
iq,2012,33,-8
iq,2012,34,5
iq,2012,35,13
iq,2012,37,-4
iq,2012,38,0
iq,2012,39,3
iq,2012,40,6
iq,2012,41,12
iq,2012,42,5
iq,2012,43,17
iq,2012,44,12
iq,2012,45,20
iq,2012,46,16
iq,2012,47,23
iq,2012,48,30
iq,2012,49,14
iq,2012,50,20
iq,2012,51,20
iq,2013,1,18
iq,2013,2,3
iq,2013,3,10
iq,2013,4,13
iq,2013,5,16
iq,2013,6,11
iq,2013,7,11
iq,2013,8,17
iq,2013,9,2
iq,2013,10,10
iq,2013,11,4
iq,2013,12,18
iq,2013,13,12
iq,2013,14,4
iq,2013,15,4
iq,2013,16,23
iq,2013,17,13
iq,2013,18,-1
iq,2013,19,12
iq,2013,20,13
iq,2013,21,13
iq,2013,22,7
iq,2013,23,5
iq,2013,24,5
iq,2013,25,-8
iq,2013,26,-6
